route,city,template,status,editorial_judgment,current_images,current_video_embeds,current_documents,acquisition_gaps
"/","london","index / editorial utility","partial — installed media present; uniqueness/relevance review required","editorial typography with a route-specific documentary or evidence anchor","/assets/media/london-fashion-week.jpg","","",""
"/cities","london","index / editorial utility","partial — installed media present; uniqueness/relevance review required","editorial typography with a route-specific documentary or evidence anchor","/assets/media/london-fashion-week.jpg | /assets/media/nyc-fashion-week.jpg | /assets/media/milan-fashion-week.jpg | /assets/media/paris-fashion-week.jpg | /assets/media/shanghai-fashion-week.jpg | /assets/media/copenhagen-fashion-week.jpg | /assets/media/tokyo-fashion-week.jpg","","",""
"/comparison","london","index / editorial utility","partial — installed media present; uniqueness/relevance review required","editorial typography with a route-specific documentary or evidence anchor","/assets/evidence/seven-city-comparison.svg","","",""
"/chronology","london","index / editorial utility","partial — installed media present; uniqueness/relevance review required","editorial typography with a route-specific documentary or evidence anchor","/assets/evidence/chronology-state-map.svg","","",""
"/search","london","index / editorial utility","gap","editorial typography with a route-specific documentary or evidence anchor","","","https://www.britishfashioncouncil.co.uk/uploads/files/1/LFW%20Web%20Development%20ITT%20July%202021%20v2.pdf","no installed image or video"
"/systems","london","index / editorial utility","partial — installed media present; uniqueness/relevance review required","editorial typography with a route-specific documentary or evidence anchor","/assets/evidence/seven-system-relay.svg","","",""
"/objects","london","object desk","partial — installed media present; uniqueness/relevance review required","documentary object image/video/document preview","/assets/media/london-fashion-week.jpg | /assets/media/nyc-fashion-week.jpg | /assets/media/milan-fashion-week.jpg | /assets/media/paris-fashion-week.jpg | /assets/media/shanghai-fashion-week.jpg | /assets/media/copenhagen-fashion-week.jpg | /assets/media/tokyo-fashion-week.jpg","https://www.youtube-nocookie.com/embed/S5dwtat6Wp8 | https://www.youtube-nocookie.com/embed/V0yz5_ZB8AE | https://www.youtube-nocookie.com/embed/PH3vHLeAyjs | https://www.youtube-nocookie.com/embed/vRJbrfgrAUs","https://www.britishfashioncouncil.co.uk/uploads/files/1/LFW%20Web%20Development%20ITT%20July%202021%20v2.pdf",""
"/field-notes","london","index / editorial utility","gap","editorial typography with a route-specific documentary or evidence anchor","","","","no installed image or video"
"/watch","london","index / editorial utility","gap","editorial typography with a route-specific documentary or evidence anchor","","","","no installed image or video"
"/sources","london","source desk","intentional typography/document-led candidate; source-specific preview still required","source-specific document preview or evidence typography; avoid decorative photography","","","https://www.britishfashioncouncil.co.uk/uploads/files/1/LFW%20Web%20Development%20ITT%20July%202021%20v2.pdf | https://www.britishfashioncouncil.co.uk/uploads/files/1/LFW-September-Handbook-2020.pdf | /data/claims.json | /data/sources.json","no installed image or video"
"/rights","london","index / editorial utility","gap","source-specific document preview or evidence typography; avoid decorative photography","","","","no installed image or video"
"/accessibility","london","index / editorial utility","gap","editorial typography with a route-specific documentary or evidence anchor","","","","no installed image or video"
"/about","london","index / editorial utility","gap","editorial typography with a route-specific documentary or evidence anchor","","","/data/search-trail.json","no installed image or video"
"/kits","london","production desk","gap","finished platform-output contact sheet + downloadable assets","","","/kits/day-1.json | /kits/day-1.md | /kits/day-2.json | /kits/day-2.md | /kits/day-3.json | /kits/day-3.md | /kits/day-4.json | /kits/day-4.md | /kits/day-5.json | /kits/day-5.md | /kits/day-6.json | /kits/day-6.md | /kits/day-7.json | /kits/day-7.md","no installed image or video | render finished carousel, Pinterest, thumbnail, and vertical-video visual files"
"/day/01-access","london","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/day/02-stage","london","evidence day","partial — installed media present; uniqueness/relevance review required","authorized video + evidence typography","","https://www.youtube-nocookie.com/embed/S5dwtat6Wp8","",""
"/day/03-capture","london","evidence day","partial — installed media present; uniqueness/relevance review required","authorized video + evidence typography","","https://www.youtube-nocookie.com/embed/V0yz5_ZB8AE","",""
"/day/04-circulation","london","evidence day","partial — installed media present; uniqueness/relevance review required","authorized video + evidence typography","","https://www.youtube-nocookie.com/embed/PH3vHLeAyjs","",""
"/day/05-backstage","london","evidence day","partial — installed media present; uniqueness/relevance review required","authorized video + evidence typography","","https://www.youtube-nocookie.com/embed/vRJbrfgrAUs","",""
"/day/06-commerce","london","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","https://www.britishfashioncouncil.co.uk/uploads/files/1/LFW%20Web%20Development%20ITT%20July%202021%20v2.pdf | https://www.britishfashioncouncil.co.uk/uploads/files/1/LFW%20Web%20Development%20ITT%20July%202021%20v2.pdf","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/day/07-memory","london","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/new-york","new-york","index / editorial utility","partial — installed media present; uniqueness/relevance review required","editorial typography with a route-specific documentary or evidence anchor","/assets/media/nyc-fashion-week.jpg","","",""
"/new-york/days","new-york","index / editorial utility","gap","editorial typography with a route-specific documentary or evidence anchor","","","","no installed image or video"
"/new-york/objects","new-york","object desk","partial — installed media present; uniqueness/relevance review required","documentary object image/video/document preview","/assets/nyc/liz-claiborne-model.jpg","https://www.youtube-nocookie.com/embed/47VXPor-deI","",""
"/new-york/kits","new-york","production desk","gap","finished platform-output contact sheet + downloadable assets","","","/new-york/kits/day-1.json | /new-york/kits/day-1.md | /new-york/kits/day-2.json | /new-york/kits/day-2.md | /new-york/kits/day-3.json | /new-york/kits/day-3.md | /new-york/kits/day-4.json | /new-york/kits/day-4.md | /new-york/kits/day-5.json | /new-york/kits/day-5.md | /new-york/kits/day-6.json | /new-york/kits/day-6.md | /new-york/kits/day-7.json | /new-york/kits/day-7.md","no installed image or video | render finished carousel, Pinterest, thumbnail, and vertical-video visual files"
"/new-york/sources","new-york","source desk","intentional typography/document-led candidate; source-specific preview still required","source-specific document preview or evidence typography; avoid decorative photography","","","/new-york/data/claims.json | /new-york/data/sources.json","no installed image or video"
"/new-york/day/01-calendar","new-york","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/new-york/day/02-venue-network","new-york","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
"/new-york/day/03-capture","new-york","evidence day","partial — installed media present; uniqueness/relevance review required","day-specific image or document; evidence graphic when it explains the system better","/assets/nyc/liz-claiborne-model.jpg","","",""
"/new-york/day/04-broadcast","new-york","evidence day","partial — installed media present; uniqueness/relevance review required","authorized video + evidence typography","","https://www.youtube-nocookie.com/embed/47VXPor-deI","",""
"/new-york/day/05-worker-data","new-york","evidence day","gap","day-specific image or document; evidence graphic when it explains the system better","","","","no installed image or video | assign one literal image, authorized film, document preview, or purpose-built evidence graphic"
